"school_id","school_name","activity_name","alg","level_of_play","event_date","event_time","score","event_name","location","source_activity_url","matchup_link","address"
"2","Southern Boone High School","Softball Fall Season","38","Varsity","9/22","5:00 pm","","Helias Catholic","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=2&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=2&alg=38&comp=2726281","1305 Swifts Hwy, Jefferson City, MO 65109-2595"
"2","Southern Boone High School","Volleyball Girls","57","Varsity","9/22","7:30 pm","","Osage","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=2&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=2&alg=57&comp=2653885","14520 Crump Lane, Ashland, MO 65010-9464"
"474","Tipton High School","Cross Country Boys","11","Varsity","9/22","","","Boonville Meet","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=474&alg=11","https://www.mshsaa.org/MySchool/Tournament.aspx?s=474&alg=11&tournament=592634","Boonville, MO"
"474","Tipton High School","Cross Country Girls","12","Varsity","9/22","","","Boonville Meet","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=474&alg=12","https://www.mshsaa.org/MySchool/Tournament.aspx?s=474&alg=12&tournament=592273","Boonville, MO"
"474","Tipton High School","Volleyball Girls","57","Varsity","9/22","7:00 pm","","California","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=474&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=474&alg=57&comp=2635298","334 US Hwy 50 West, Tipton, MO 65081-8606"
"485","Versailles High School","Volleyball Girls","57","Varsity","9/22","7:00 pm","","Warsaw","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=485&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=485&alg=57&comp=2643117","20363 Lane of Champions, Warsaw, MO 65355"
"953","Battle High School","Softball Fall Season","38","Varsity","9/23","5:00 pm","","Helias Catholic","home","https://www.mshsaa.org/MySchool/Schedule.aspx?s=953&alg=38","https://www.mshsaa.org/MySchool/Matchup.aspx?s=953&alg=38&comp=2762402","7575 St. Charles Road, Columbia, MO 65202"
"217","Blair Oaks High School","Golf Girls","24","Varsity","9/23","4:00 pm","","Blair Oaks Tri","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=217&alg=24&tournament=581389","Jefferson City, MO"
"217","Blair Oaks High School","Volleyball Girls","57","Varsity","9/23","7:30 pm","","Jefferson City","away","https://www.mshsaa.org/MySchool/Schedule.aspx?s=217&alg=57","https://www.mshsaa.org/MySchool/Matchup.aspx?s=217&alg=57&comp=2679584","609 Union St, Jefferson City, MO 65101-2898"
"582","California High School","Golf Girls","24","Varsity","9/23","","","California/Camdenton/Lebanon Tri","tournament","https://www.mshsaa.org/MySchool/Schedule.aspx?s=582&alg=24","https://www.mshsaa.org/MySchool/Tournament.aspx?s=582&alg=24&tournament=570361","Camdenton, MO"
